window,test_start,test_end,Logistic Regression_acc,Random Forest_acc,Gradient Boosting_acc,SVM_acc,XGBoost_acc
42,2024-11-05 08:00:00.003,2024-11-12 00:00:00.002,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
43,2024-11-12 08:00:00.000,2024-11-19 00:00:00.000,1.0,1.0,1.0,1.0,1.0
44,2024-11-19 08:00:00.000,2024-11-26 00:00:00.000,1.0,1.0,1.0,1.0,1.0
45,2024-11-26 08:00:00.000,2024-12-03 00:00:00.000,1.0,1.0,1.0,1.0,1.0
46,2024-12-03 08:00:00.000,2024-12-10 00:00:00.007,1.0,1.0,1.0,1.0,1.0
47,2024-12-10 08:00:00.000,2024-12-17 00:00:00.000,1.0,1.0,1.0,1.0,1.0
48,2024-12-17 08:00:00.000,2024-12-24 00:00:00.000,0.6190476190476191,0.47619047619047616,0.5238095238095238,0.3333333333333333,0.5714285714285714
49,2024-12-24 08:00:00.000,2024-12-31 00:00:00.000,0.7142857142857143,0.6666666666666666,0.6190476190476191,0.6666666666666666,0.5714285714285714
50,2024-12-31 08:00:00.000,2025-01-07 00:00:00.000,0.5238095238095238,0.47619047619047616,0.47619047619047616,0.5238095238095238,0.5238095238095238
51,2025-01-07 08:00:00.000,2025-01-14 00:00:00.000,0.42857142857142855,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.6190476190476191
52,2025-01-14 08:00:00.000,2025-01-21 00:00:00.000,0.7619047619047619,0.7142857142857143,0.8095238095238095,0.7619047619047619,0.6666666666666666
53,2025-01-21 08:00:00.000,2025-01-28 00:00:00.000,0.47619047619047616,0.42857142857142855,0.38095238095238093,0.5714285714285714,0.5238095238095238
54,2025-01-28 08:00:00.000,2025-02-04 00:00:00.000,0.6190476190476191,0.6190476190476191,0.5238095238095238,0.5238095238095238,0.2857142857142857
