iter	Huber:delta=0.01
289	1.0102832e-09
290	1.009510089e-09
291	1.008404949e-09
292	1.006694397e-09
293	1.005478658e-09
294	1.003460559e-09
295	1.002075916e-09
296	1.000748879e-09
297	9.984123377e-10
298	9.956395013e-10
299	9.938251617e-10
300	9.915301703e-10
301	9.895266361e-10
302	9.878787914e-10
303	9.862654546e-10
304	9.855630485e-10
305	9.845655943e-10
306	9.82651358e-10
307	9.813536893e-10
308	9.794379074e-10
309	9.77197249e-10
310	9.752985184e-10
311	9.73817103e-10
312	9.720682258e-10
313	9.707362737e-10
314	9.690664064e-10
315	9.662000513e-10
316	9.651889218e-10
317	9.63080851e-10
318	9.616919292e-10
319	9.604916751e-10
320	9.587790321e-10
321	9.577433801e-10
322	9.562060039e-10
323	9.546322379e-10
324	9.529971173e-10
325	9.512714698e-10
326	9.50330631e-10
327	9.489172963e-10
328	9.467031862e-10
329	9.44948594e-10
330	9.432959032e-10
331	9.425320217e-10
332	9.412268754e-10
333	9.393852064e-10
334	9.367616286e-10
335	9.350956912e-10
336	9.342930488e-10
337	9.337305818e-10
338	9.323849248e-10
339	9.310693444e-10
340	9.298777396e-10
341	9.291032537e-10
342	9.28674271e-10
343	9.274257895e-10
344	9.262177198e-10
345	9.251672695e-10
346	9.238650554e-10
347	9.222210238e-10
348	9.202233823e-10
349	9.188241101e-10
350	9.167185517e-10
351	9.153641821e-10
352	9.135787895e-10
353	9.116197046e-10
354	9.094198867e-10
355	9.073466e-10
356	9.054659197e-10
357	9.032469831e-10
358	9.024517439e-10
359	9.002793071e-10
360	8.991308078e-10
361	8.977686286e-10
362	8.956462913e-10
363	8.946385791e-10
364	8.934119153e-10
365	8.92139474e-10
366	8.914033416e-10
367	8.903162116e-10
368	8.893682237e-10
369	8.879607964e-10
370	8.870742299e-10
371	8.859639529e-10
372	8.844898283e-10
373	8.826197659e-10
374	8.819043779e-10
375	8.802601326e-10
376	8.791913453e-10
377	8.770044606e-10
378	8.765342215e-10
379	8.741893331e-10
380	8.726369298e-10
381	8.710286038e-10
382	8.688915224e-10
383	8.677947865e-10
384	8.658123296e-10
385	8.636910307e-10
386	8.625348678e-10
387	8.611995584e-10
388	8.607948721e-10
389	8.586091649e-10
390	8.577205684e-10
391	8.565764944e-10
392	8.556091692e-10
393	8.549668374e-10
394	8.538093131e-10
395	8.524463631e-10
396	8.516970533e-10
397	8.505186066e-10
398	8.496290987e-10
399	8.48738861e-10
400	8.470105837e-10
401	8.451223845e-10
402	8.437320378e-10
403	8.418769352e-10
404	8.406946864e-10
405	8.39215602e-10
406	8.380043725e-10
407	8.37357864e-10
408	8.359687163e-10
409	8.341072217e-10
410	8.336001418e-10
411	8.327425626e-10
412	8.314210345e-10
413	8.305759006e-10
414	8.288902648e-10
415	8.270346301e-10
416	8.251182927e-10
417	8.232812107e-10
418	8.217620743e-10
419	8.21042533e-10
420	8.195137831e-10
421	8.179593512e-10
422	8.163158046e-10
423	8.153451485e-10
424	8.141249683e-10
425	8.127381351e-10
426	8.116750256e-10
427	8.097886734e-10
428	8.093200821e-10
429	8.086536648e-10
430	8.076861685e-10
431	8.067756324e-10
432	8.059155763e-10
433	8.049667827e-10
434	8.038873321e-10
435	8.022507364e-10
436	8.01663459e-10
437	8.008813787e-10
438	8.000736814e-10
439	7.991674543e-10
440	7.973847771e-10
441	7.965406636e-10
442	7.953864341e-10
443	7.946221704e-10
444	7.938786559e-10
445	7.933057526e-10
446	7.921021096e-10
447	7.911272771e-10
448	7.894494485e-10
449	7.877621427e-10
450	7.870078798e-10
451	7.859036964e-10
452	7.843222323e-10
453	7.834552984e-10
454	7.825456813e-10
455	7.813596102e-10
456	7.807243954e-10
457	7.791873091e-10
458	7.785790032e-10
459	7.778731088e-10
460	7.769914797e-10
461	7.760717809e-10
462	7.747967589e-10
463	7.738764964e-10
464	7.719828872e-10
465	7.712607174e-10
466	7.693376724e-10
467	7.682293498e-10
468	7.66921563e-10
469	7.663199015e-10
470	7.655353604e-10
471	7.646543494e-10
472	7.637769749e-10
473	7.631015099e-10
474	7.617471016e-10
475	7.61254956e-10
476	7.602059306e-10
477	7.591039634e-10
478	7.577115083e-10
479	7.571591571e-10
480	7.552422879e-10
481	7.547720643e-10
482	7.534218269e-10
483	7.525372693e-10
484	7.504890148e-10
485	7.487085526e-10
486	7.469231691e-10
487	7.464899275e-10
488	7.459229431e-10
489	7.455271208e-10
490	7.442461366e-10
491	7.437789618e-10
492	7.423348738e-10
493	7.412393788e-10
494	7.406095055e-10
495	7.401608735e-10
496	7.38927322e-10
497	7.373067838e-10
498	7.361332593e-10
499	7.350826745e-10
